1469428091-2037300.png, [84 x 52 from (259, 264)]
1469428092-2037900.png, [86 x 47 from (257, 321)]
1469428092-2038600.png, [91 x 67 from (261, 345)]
1469428095-2041400.png, [86 x 59 from (260, 353)]
1469428097-2043800.png, [84 x 53 from (262, 259)]
1469428099-2046600.png, [84 x 48 from (263, 269)]
1469428101-2049200.png, [85 x 49 from (265, 269)]
1469428103-2052100.png, [85 x 50 from (274, 269)]
1469428106-2055000.png, [85 x 52 from (280, 256)]
1469428108-2057700.png, [84 x 54 from (285, 262)]
1469428110-2060600.png, [96 x 67 from (292, 246)]
